id_proyecto,Proyecto,Descripción del proyecto,empresa,titular_proyecto,CUIT,sector,subsector,provincia,localidad_region,Monto (mill. USD),Activos Computables (mill. USD),Empleos (directos e indirectos),Estado administrativo,fecha_presentacion,fecha_adhesion_rigi,fecha_publicacion_bo,fecha_aprobacion,norma_aprobacion,link_norma,Fuentes,Clasificación preexistencia BO,Justificación preexistencia BO
15,Ángeles Argentina,,Xizang Zhufeng Resources Co Ltd (Tibet Summit) (China),Potasio y Litio de Argentina SA,,Minería,Litio,Salta,NOA,726,,,En evaluación,2025-01-14,,,,,,Globaris,,
16,Arenas de Cercanía,,Minera del Mojotoro (Argentina); Minera Orosmayo (Argentina),Arenas de Cercanía S.A.,,Minería,Arena,Rio Negro,Patagonia,232,,,En evaluación,2025-08-05,,,,,,Globaris,,
17,Bajo del Choique–La Invernada,,Pluspetrol (Argentina); Gas y Petróleo del Neuquén S.A (Argentina),Pluspetrol Cuenca Neuquina S.R.L,,Energía,Oil & Gas,Neuquén,Patagonia,12000,,,En evaluación,2025-04-24,,,,,,Globaris,,
19,Duplicar Norte,,Oldelval (Argentina),Oleoductos del Valle SDE,,Energía,Oil & Gas,Neuquén,Patagonia,380,,,En evaluación,2025-07-21,,,,,,Globaris,,
20,El Pachón,,Glencore (Suiza),Glencore Pachón S.A.,,Minería,Cobre,San Juan,Cuyo,9500,,,En evaluación,2025-08-18,,,,,,Globaris,,
21,El Trapial,,Chevron (Estados Unidos),,,Energía,Oil & Gas,Neuquén,Patagonia,13800,,,En evaluación,2026-06-02,,,,,,Globaris,,
37,Fértil Pampa,,Pampa Energía (Argentina),Fértil Pampa S.A.U.,,Energía,Oil & Gas,Buenos Aires,Centro,2400,,,En evaluación,2026-04-24,,,,,,Globaris,,
40,Jama Solaroz,,CNGR (China),CNGR Advanced Material,,Minería,Litio,Jujuy,NOA,1151,,,En evaluación,2026-03-30,,,,,,Globaris,,
41,LL Oil,,YPF S.A. (Argentina),,,Energía,Oil & Gas,Neuquén,Patagonia,25000,,,En evaluación,2026-05-15,,,,,,Globaris,,
32,Loma Jarillosa Este y Puesto Silva Oeste,,GeoPark (Colombia); Gas y Petróleo del Neuquén S.A (Argentina),,,Energía,Oil & Gas,Neuquén,Patagonia,1000,,,En evaluación,2026-05-15,,,,,,Globaris,,
35,Mega,,YPF S.A. (Argentina); Petrobras (Brazil); Dow (Argentina),Mega,,Energía,Oil & Gas,Neuquén,Patagonia,360,,,En evaluación,2026-03-18,,,,,,Globaris,,
36,Minera Agua Rica (MARA),,Glencore (Suiza),Minera Agua Rica LLC Sucursal Argentina,,Minería,Cobre,Catamarca,NOA,4000,,,En evaluación,2025-08-18,,,,,,Globaris,,
22,NCA+ (Nuevo Central Argentino),,Nuevo Central Argentino (Argentina),Nuevo Central Argentino,,Infraestructura,Ferroviario,"Múltiples (Buenos Aires, Santa Fe, Santiago del Estero, Chaco)",Centro,200,,,En evaluación,,,,,,,Globaris,,
23,Parque Eólico La Rinconada,,Tenaris (Argentina),Vientos La Rinconada S.A.U.,,Energía,Eólico,Buenos Aires,Centro,206,,,En evaluación,2025-05-28,,,,,,Globaris,,
24,Planta de Tratamiento Los Toldos,,Tecpetrol S.A. (Argentina); Gas y Petróleo del Neuquén S.A. (Argentina),Tecpetrol S.A – Gas y Petróleo del Neuquén S.A. (UT),,Energía,Oil & Gas,Neuquén,Patagonia,6391,,,En evaluación,2026-04-06,,,,,,Globaris,,
25,Pozuelos Pastos Grandes (PPG),,Ganfeng (China); Lithium Argentina (Suiza),Lithea Inc.,,Minería,Litio,Salta,NOA,4245,,,En evaluación,2026-02-28,,,,,,Globaris,,
26,Rincón de Aranda (RDA),,Pampa Energía (Argentina),Sucursal Dedicada Midstream RDA,,Energía,Oil & Gas,Neuquén,Patagonia,4500,,,En evaluación,2025-07-01,,,,,,Globaris,,
27,Sal de Oro,,Posco (Corea del Sur),Argentina S.A. (Posco),,Minería,Litio,Salta,NOA,845,,,En evaluación,2024-10-30,,,,,,Globaris,,
28,Sal de Vida,,Rio Tinto (Reino Unido),Sal de Vida S.A.,,Minería,Litio,Catamarca,NOA,818,,,En evaluación,2025-04-11,,,,,,Globaris,,
29,Salterra,,Zijin Mining (LieX S.A.) (China),LIEX S.A.,,Minería,Litio,Catamarca,NOA,710,,,En evaluación,,,,,,,Globaris,,
31,Vicuña,,BHP (Australia); Lundin Mining (Canadá),Vicuña Argentina S.A.,,Minería,Cobre,San Juan,Cuyo,9712,,,En evaluación,2025-12-11,,,,,,Globaris,,
